name	price	category	photoPath
Yotoqxona to'plami, yog'on mebel	5999000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3225/original.jpg
Oshxona burchagi, kitchen set	2499000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3226/original.jpg
Karavot, metall ramasi	1999000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3227/original.jpg
Matras ortopedik, 160x200	2299000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3228/original.jpg
Shkaf, 3-qavat, pinewood	1899000	Mebel	https://images.uzum.uz/cjl6b340fdd0o0ip3229/original.jpg
Akkumulyatorlik cho'tkasiz instrumentlar to'plami	484990	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3230/original.jpg
Elektr burilishi DeWalt DCD777C2	799000	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3231/original.jpg
Elektr perforatori Makita HP1630	1299000	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3232/original.jpg
Elektr shuterka Bosch GBH 5-40D	2199000	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3233/original.jpg
Kompressor Metabo Power 250-10	1599000	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3234/original.jpg
Shuler stend DeWalt DW745	3299000	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3235/original.jpg
Elektr sayli Makita LS1018	2899000	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3236/original.jpg
Vakuum nasos Bosch GAS 25 L SFC	1799000	Qurilish va ta'mirlash	https://images.uzum.uz/cjl6b340fdd0o0ip3237/original.jpg
Naychalar va mikroiqlim tumanlash tizimi	296010	Dacha, bogʻ va tomorqa	https://images.uzum.uz/cjl6b340fdd0o0ip3238/original.jpg
Tog' elektr pumpa 1.5kW	899000	Dacha, bogʻ va tomorqa	https://images.uzum.uz/cjl6b340fdd0o0ip3239/original.jpg
Traktor soat, 7.5kW	3499000	Dacha, bogʻ va tomorqa	https://images.uzum.uz/cjl6b340fdd0o0ip3240/original.jpg
Motopumpa 2-ichilik, 5.5kW	2199000	Dacha, bogʻ va tomorqa	https://images.uzum.uz/cjl6b340fdd0o0ip3241/original.jpg
Elektr sayla gazuv mashinasi	1299000	Dacha, bogʻ va tomorqa	https://images.uzum.uz/cjl6b340fdd0o0ip3242/original.jpg
Minitar traktor MTZ-82	9999000	Dacha, bogʻ va tomorqa	https://images.uzum.uz/cjl6b340fdd0o0ip3243/original.jpg
Nazorat camera sistem 4CH DVR	1699000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3244/original.jpg
WiFi router TP-Link Archer AX12	699000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3245/original.jpg
Proyektor Epson EH-TW610	4199000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3246/original.jpg
Monitir LG 27" 144Hz IPS	2299000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3247/original.jpg
Klaviatura mehanik RGB	399000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3248/original.jpg
Sichqoncha wireless logitex	199000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3249/original.jpg
Kamera Canon EOS R6	14999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3250/original.jpg
Kamera Nikon Z5	13499000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3251/original.jpg
Mikrofon Rode Wireless GO II	2499000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3252/original.jpg
Quloqlik Sony WH-1000XM5	3999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3253/original.jpg
Quloqlik JBL Flip 6	899000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3254/original.jpg
Proyektor 4K ASUS ProArt	7999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3255/original.jpg
Smart TV Samsung 55" 4K UHD	4999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3256/original.jpg
Smart TV LG 65" OLED	8999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3257/original.jpg
Gaming monitor 4K 144Hz	5499000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3258/original.jpg
Gaming kompyuter, RTX 4070	18999000	Elektronika	https://images.uzum.uz/cjl6b340fdd0o0ip3259/original.jpg
Massager elektr yugurish	899000	Salomatlik	https://images.uzum.uz/cjl6b340fdd0o0ip3261/original.jpg
Yugurish stendi elektr	2199000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3262/original.jpg
Velosiped sport MTB 26"	799000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3263/original.jpg
Velosiped road 700c	1299000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3264/original.jpg
Skateboard professional	449000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3265/original.jpg
Tenis raketkasi Wilson	599000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3266/original.jpg
Tenis to'plami	299000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3267/original.jpg
Golf to'plami 14 tayoq	2999000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3268/original.jpg
Baliq qurollar to'plami	899000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3269/original.jpg
Boxing bag stendi	1199000	Sport	https://images.uzum.uz/cjl6b340fdd0o0ip3270/original.jpg
3D printer Anycubic i3 Mega	1999000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3271/original.jpg
Rasm akvareli 36 rang	89000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3272/original.jpg
Rasmiy qalam set 120 dona	299000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3273/original.jpg
Digital piano Casio Privia	3499000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3274/original.jpg
Gitar akustik Yamaha	1999000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3275/original.jpg
Elektr gitar Fender Stratocaster	2499000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3276/original.jpg
Ukulele soprano	399000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3277/original.jpg
RC drone DJI Air 3	5999000	Xobbi va ijod	https://images.uzum.uz/cjl6b340fdd0o0ip3278/original.jpg
Bolalar o'yinchoq robot RC	899000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3279/original.jpg
Scooter bolalar uchun elektr	2999000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3280/original.jpg
Velosiped bolalar uchun 12"	449000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3281/original.jpg
Baby monitor camera Enabot	599000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3282/original.jpg
Avtomobil bolalar o'rindigi ISOFIX	1299000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3283/original.jpg
Bolalar yotoq yog'in portativ	1999000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3284/original.jpg
Stroller 3 in 1 Travel System	3499000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3285/original.jpg
Bolalar portativ klimat kontrol	899000	Bolalar tovarlari	https://images.uzum.uz/cjl6b340fdd0o0ip3286/original.jpg
Avtomobil o'rindiqlari uchun g'iloflar	373500	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3287/original.jpg
Avtomobil dvigateli yoɣli Mobil	399000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3288/original.jpg
Avtomobil filteri havodan	149000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3289/original.jpg
Avtomobil yoɣli filteri	89000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3290/original.jpg
Avtomobil batareyasi 60Ah Titan	699000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3291/original.jpg
Avtomobil batareyasi 80Ah Exell	999000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3292/original.jpg
Shinalar Michelin 175/65 R14	349000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3293/original.jpg
Shinalar Dunlop 195/55 R15	449000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3294/original.jpg
Avtomobil lampasi LED H7	249000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3295/original.jpg
Avtomobil radiatori suzish aktiv	599000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3296/original.jpg
Avtomobil klakson 12V	199000	Avtotovarlar	https://images.uzum.uz/cjl6b340fdd0o0ip3297/original.jpg
Shampun L'Oréal Paris Elseve	149000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3298/original.jpg
Krem yuz Nivea daily moisture	129000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3299/original.jpg
Dezodorant NIVEA MEN erkaklar	99000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3300/original.jpg
Dezodorant Nivea Woman Pearl Beauty	89000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3301/original.jpg
Tish pastasi Colgate Maximum White	84000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3302/original.jpg
Tish cho'tkasi Oral-B Pro 7000	499000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3303/original.jpg
Cho'chqa ko'pik Lush Big	899000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3304/original.jpg
Ruj MAC Ruby Woo	399000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3305/original.jpg
Makiyaj asoslantirish Fenty Beauty Pro	499000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3306/original.jpg
Qo'l kremi Nivea Care	99000	Goʻzallik va parvarish	https://images.uzum.uz/cjl6b340fdd0o0ip3307/original.jpg
